"year","state_id","state","cve_cie","morbilidad"
2012,10,"Durango","M00-M99",5884
2012,10,"Durango","N00-N99",8950
2012,10,"Durango","O00-O99",20070
2012,10,"Durango","P00-P96",146
2012,10,"Durango","Q00-Q99",70
2012,10,"Durango","R00-R99",321
2012,10,"Durango","S00-T99",21108
2012,10,"Durango","Z00-Z99",19213
2012,11,"Guanajuato","A00-B99",7865
2012,11,"Guanajuato","C00-D48",3727
2012,11,"Guanajuato","D50-D89",2173
2012,11,"Guanajuato","E00-E90",19397
2012,11,"Guanajuato","F00-F99",8129
2012,11,"Guanajuato","G00-G99",6646
2012,11,"Guanajuato","H00-H59",7785
2012,11,"Guanajuato","I00-I99",7286
2012,11,"Guanajuato","J00-J99",97547
2012,11,"Guanajuato","K00-K93",47605
2012,11,"Guanajuato","L00-L99",9921
2012,11,"Guanajuato","M00-M99",15434
2012,11,"Guanajuato","N00-N99",34174
2012,11,"Guanajuato","O00-O99",44172
2012,11,"Guanajuato","P00-P96",2379
2012,11,"Guanajuato","Q00-Q99",735
2012,11,"Guanajuato","R00-R99",26416
2012,11,"Guanajuato","S00-T99",149883
2012,11,"Guanajuato","Z00-Z99",98252
2012,12,"Guerrero","A00-B99",4982
2012,12,"Guerrero","C00-D48",1129
2012,12,"Guerrero","D50-D89",1398
2012,12,"Guerrero","E00-E90",7210
2012,12,"Guerrero","F00-F99",2086
2012,12,"Guerrero","G00-G99",2039
2012,12,"Guerrero","H00-H59",2762
2012,12,"Guerrero","I00-I99",2729
2012,12,"Guerrero","J00-J99",24006
2012,12,"Guerrero","K00-K93",15817
2012,12,"Guerrero","L00-L99",2876
2012,12,"Guerrero","M00-M99",4027
2012,12,"Guerrero","N00-N99",10469
2012,12,"Guerrero","O00-O99",23653
2012,12,"Guerrero","P00-P96",890
2012,12,"Guerrero","Q00-Q99",284
2012,12,"Guerrero","R00-R99",14683
2012,12,"Guerrero","S00-T99",35028
2012,12,"Guerrero","Z00-Z99",37418
2012,13,"Hidalgo","A00-B99",1429
2012,13,"Hidalgo","C00-D48",1655
2012,13,"Hidalgo","D50-D89",951
2012,13,"Hidalgo","E00-E90",6524
2012,13,"Hidalgo","F00-F99",1743
2012,13,"Hidalgo","G00-G99",1966
2012,13,"Hidalgo","H00-H59",1445
2012,13,"Hidalgo","I00-I99",3020
2012,13,"Hidalgo","J00-J99",15582
2012,13,"Hidalgo","K00-K93",14686
2012,13,"Hidalgo","L00-L99",1683
