"functional_group_id","functional_group","function_id","function","sub_function_id","sub_function","department_id","department","expenses_type_id","expenses_type","state_id","state","year","amount_approved","amount_executed"
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",3,"Baja California Sur",2018,5462000038,6084137840
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",3,"Baja California Sur",2019,6472574248,6663310710
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",3,"Baja California Sur",2020,6817691554,6317879746
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",4,"Campeche",2013,6719475373,6920946550
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",4,"Campeche",2014,6800500512,6999367348
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",4,"Campeche",2015,7949300973,8430926990
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",4,"Campeche",2016,7598661304,7948446667
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",4,"Campeche",2017,7229089459,7101486814
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",4,"Campeche",2018,8587251766,8884812073
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",4,"Campeche",2019,9893848991,9748032274
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",4,"Campeche",2020,9557190313,8634297576
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",5,"Coahuila de Zaragoza",2013,12691068371,12573351659
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",5,"Coahuila de Zaragoza",2014,13838831303,13942695971
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",5,"Coahuila de Zaragoza",2015,14712264055,14461503339
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",5,"Coahuila de Zaragoza",2016,15837698662,16719116186
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",5,"Coahuila de Zaragoza",2017,17220784977,18553252355
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",5,"Coahuila de Zaragoza",2018,19277011684,19515163821
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",5,"Coahuila de Zaragoza",2019,21719474272,20811760149
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",5,"Coahuila de Zaragoza",2020,22452912147,19328974751
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",6,"Colima",2013,3835928654,3696288163
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",6,"Colima",2014,3951526970,3939137312
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",6,"Colima",2015,4579152502,4230416312
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",6,"Colima",2016,4601810486,4918638564
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",6,"Colima",2017,4771134882,5229783954
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",6,"Colima",2018,5445838678,5797725970
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",6,"Colima",2019,6031416940,5641579825
"4","Otras no Clasificadas en Funciones Anteriores","402","Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno","40202","Participaciones entre Diferentes Niveles y Ordenes de Gobierno","41","Participaciones a Entidades Federativas y Municipios","9","Participaciones",6,"Colima",2020,6231587409,5995369837
